num,sym,element,デジタルカメラ,電子レンジ,電気掃除機,携帯電話,据置型ゲーム機,携帯型ゲーム機,PC（デスクトップ型）,PC（ノートブック型）
0,NoP,台数,10507667,3529000,5559667,40157667,3616667,9606667,5013000,6696000
3,Li,リチウム,182.55,1.2,0.38,61.23,23.42,2.64,0,0
4,Be,ベリリウム,29.08,5.18,0.26,59.71,0,0.53,8.22,103.91
5,B,ホウ素,717.99,163.34,31.92,1691.06,4449.54,,0,0
21,Sc,スカンジウム,0.92,2.39,0.13,3.65,,,0,0
22,Ti,チタン,4406.08,563.71,140.47,8102.84,3590.86,396.13,0,0
23,V,バナジウム,22.09,3.39,0.51,54.22,25.76,,0,0
24,Cr,クロム,11792.59,310.74,35.75,19867.89,3812.55,208.68,4405.55,2147.65
25,Mn,マンガン,2549.76,1625.4,22.99,2821.81,16299.37,128.35,13261.38,14851.84
27,Co,コバルト,296.36,107.56,9.7,2220.87,233.27,62.43,701.6,268.05
28,Ni,ニッケル,14230.55,1215.06,587.4,42012.6,22954.88,2456.02,44972.15,21450.74
31,Ga,ガリウム,44.55,2.79,0.89,202.97,135.24,2.44,108.01,24.66
32,Ge,ゲルマニウム,64.61,30.68,0.51,91.34,257.61,23.77,0,0
34,Se,セレン,13.75,0.4,,86.86,,,0,0
37,Rb,ルビジウム,0.54,0.8,0.13,1.35,,,0,0
38,Sr,ストロンチウム,796.77,109.55,3.83,709.23,2412.12,343.31,0,0
39,Y,イットリウム,73.07,2.99,0.26,150.97,37.47,5.99,78.69,25.81
40,Zr,ジルコニウム,691.59,129.47,21.71,777.36,409.83,21.13,0,0
41,Nb,ニオブ,936.38,4.38,1.15,190.19,185.01,23.77,0,0
42,Mo,モリブデン,597.53,18.72,0.26,464.2,627.62,5.37,293.99,94.32
46,Pd,パラジウム,117.44,1.59,2.3,461.73,73.49,20.44,1267.12,799.08
49,In,インジウム,252.14,22.91,0.38,298.76,73.77,9.95,0,0
51,Sb,アンチモン,1068.8,3366.33,268.16,2312.31,7616.35,677.12,36543.92,7000.62
52,Te,テルル,21.33,0.4,,29.71,92.54,,8.22,0
55,Cs,セシウム,8.01,,,2.08,,,0,0
56,Ba,バリウム,9709.78,2669.16,280.93,19405.66,10538.39,1980.66,65455.64,22826.96
57,La,ランタン,229.76,18.52,0.26,926.02,702.56,33.54,249.81,81.93
58,Ce,セリウム,52.74,4.98,0.51,717.45,252.92,17.43,592.25,196.98
59,Pr,プラセオジム,198.8,9.16,0.26,365.92,,,0,0
60,Nd,ネオジム,999.08,6.37,,18933.59,1170.93,79.23,985.49,323.2
61,Pm,プロメチウム,,,,,,,0,0
62,Sm,サマリウム,13.55,1.2,,160.99,,,0,0
63,Eu,ユウロピウム,3.15,4.78,,16.94,56.2,,0,0
64,Gd,ガドリニウム,403.2,,,39.69,,,0,0
65,Tb,テルビウム,11.41,3.19,,39.64,28.1,,0,0
66,Dy,ジスプロシウム,36.48,2.39,0.77,1048.69,35.13,5.22,61.88,20.29
67,Ho,ホルミウム,44.43,,0.26,69.83,,,0,0
68,Er,エルビウム,3.76,,,8.05,,,0,0
69,Tm,ツリウム,,,,,,,0,0
70,Yb,イッテルビウム,,,,,,,0,0
71,Lu,ルテチウム,,,,,,,0,0
72,Hf,ハフニウム,12.49,3.98,0.38,11.1,,,0,0
73,Ta,タンタル,3492.64,0.8,0.26,3239.77,1512.73,159.98,2985.79,11912.74
74,W,タングステン,1122,18.52,16.6,27122.05,204.91,89.79,817.33,261.87
75,Re,レニウム,,,,,,,0,0
78,Pt,白金,3.59,,,16.09,4.68,,25.61,8.67
81,Tl,タリウム,,,,1.58,,,0,0
83,Bi,ビスマス,383.24,270.9,12.77,698.53,900.32,15.16,540.6,231.39
12,Mg,マグネシウム,814.87,,0,16582.6,5386.29,,0,0
13,Al,アルミニウム,31988.35,9361.97,8555.65,50388.39,100704.9,7954.32,452932.24,62838.36
20,Ca,カルシウム,11408.17,,0,14829.97,47539.84,,0,0
26,Fe,鉄,118206,43224.42,4086.28,418171.64,206234.2,13996.65,141465.91,97439.69
29,Cu,銅,168556.65,67724.9,20431.4,508712,428165.81,43521.64,2183295.42,546509.52
30,Zn,亜鉛,15197.82,13744.17,1660.05,44288.1,24345.61,1906.71,46390.3,23590.43
33,As,ヒ素,368.63,3.98,0.13,826.22,397.53,5.7,168.97,49.78
47,Ag,銀,3274.41,428.86,20.43,10461.07,2079.77,1384.35,15458.27,5610.85
48,Cd,カドミウム,8.56,56.17,0.13,5.57,2.34,0.66,14.33,5.78
50,Sn,スズ,19885.93,14142.55,1660.05,59176.04,62962.6,9612.79,339913.71,58663.57
79,Au,金,444.41,16.33,4.72,1940.98,633.54,67.61,2506.16,2004.6
80,Hg,水銀,1.31,,,0.07,,,0,0
82,Pb,鉛,10228.97,5975.73,2170.84,19323.37,32343.22,6618.04,188879.09,31492.71
44,Ru,ルテニウム,6.69,,0,12.13,1.17,0.4,50.28,38.9
45,Rh,ロジウム,165.98,,0,728.02,,102.99,0,0
35,Br,臭素,11410.41,,0,24655.35,49179.14,6285.29,441816.27,77535.91
17,Cl,塩素,,,0,,2576.05,765.85,0,0
14,Si,ケイ素,,,0,,107725.74,5809.93,0,0
16,S,硫黄,,,0,,,,0,0
19,K,カリウム,,,0,,1428.54,100.35,0,0
15,P,リン,,,0,,1217.77,89.79,0,0
11,Na,ナトリウム,,,0,,2810.24,227.12,0,0
9,F,フッ素,0,,0,0,0,0,0,0
24,Cr6+,六価クロム,0,,0,0,0,0,0,0