sym,Plastic elements,Metal frame and case: Aluminum,Metal frame and case: Steel,LCD,PCB,Battery,Other parts
Fe,,,,0.0031,0.011481,0.053,
P,,,0.00072,,0.001441,NA,
S,,,0.00089,,NA,NA,
Si,,,,,0.056971,NA,
Al,,0.99,,0.033,0.023003,0.052,
Mn,,,0.02,0.000053,0.0000234,0.00001,
N,,,,,NA,NA,
Mo,,,0.01,0.000014,0.0000088,NA,
Ti,,,0.0031,,0.000712,NA,
Nb,,,0.003,,0.0000607,NA,
V,,,0.0052,,0.0000007,NA,
Zr,,,0.002,,0.000298,NA,
Sb,,,0.00072,,3.04E-05,NA,
Sn,,,0.0024,0.00026,0.0322,NA,
Cr,,,0.0515,,0.001307,NA,
Ni,,,0.0445,,0.015433,0.007,
Cu,,,0.0066,,0.395,0.137,
Na,,,,,0.000753,NA,
Ca,,,,,0.000762,NA,
Co,,,0.003,,0.0000015,0.306,
Li,,,,,NA,0.041,
Ag,,,,,0.002773,NA,
As,,,0.0014,,0.000141,NA,
Au,,,,,0.001083,NA,
B,,,,,NA,NA,
Ba,,,,,0.002662,NA,
Be,,,,,0.000115,NA,
Bi,,,,,0.0000606,NA,
Cd,,,,,NA,NA,
Ga,,,,,NA,NA,
Ge,,,,,NA,NA,
Hf,,,,,NA,NA,
In,,,,0.000053,NA,NA,
Ir,,,,,NA,NA,
K,,,,,0.000234,NA,
La,,,,,NA,NA,
Mg,,,,,0.001164,NA,
Nd,,,,,NA,NA,
Pb,,,,,0.00026,NA,
Pd,,,,,0.0000554,NA,
Pt,,,,,0.0000008,NA,
Rh,,,,,0.0000085,NA,
Ru,,,,,NA,NA,
Sc,,,,,0.0000006,NA,
Se,,,,,NA,NA,
Sr,,,,,0.0000825,NA,
Ta,,,0.0023,,NA,NA,
Te,,,,,NA,NA,
Tl,,,,,NA,NA,
W,,,,,0.000122,NA,
Y,,,,,0.0000041,NA,
Zn,,,,,0.006743,NA,
Hg,,,,,0.0000003,NA,
Others,1,0.01,0.84267,0.96352,0.4450037,0.40399,1