num,sym,element,GHG_MatProd_elem
3,Li,リチウム,70.08763443
4,Be,ベリリウム,
5,B,ホウ素,
21,Sc,スカンジウム,
22,Ti,チタン,12.31113283
23,V,バナジウム,10.19655938
24,Cr,クロム,13.42462362
25,Mn,マンガン,6.064769156
27,Co,コバルト,20.08849711
28,Ni,ニッケル,10.47173026
31,Ga,ガリウム,342.1537693
32,Ge,ゲルマニウム,
34,Se,セレン,44.57977066
37,Rb,ルビジウム,
38,Sr,ストロンチウム,
39,Y,イットリウム,
40,Zr,ジルコニウム,32.53781532
41,Nb,ニオブ,22.95129969
42,Mo,モリブデン,9.75568086
46,Pd,パラジウム,
49,In,インジウム,33.64893365
51,Sb,アンチモン,1.680710727
52,Te,テルル,85.47117604
55,Cs,セシウム,
56,Ba,バリウム,2.125760046
57,La,ランタン,8.448765512
58,Ce,セリウム,
59,Pr,プラセオジム,9.999411306
60,Nd,ネオジム,10.37378301
61,Pm,プロメチウム,
62,Sm,サマリウム,10.66448345
63,Eu,ユウロピウム,
64,Gd,ガドリニウム,12.00295452
65,Tb,テルビウム,
66,Dy,ジスプロシウム,
67,Ho,ホルミウム,
68,Er,エルビウム,
69,Tm,ツリウム,
70,Yb,イッテルビウム,
71,Lu,ルテチウム,
72,Hf,ハフニウム,
73,Ta,タンタル,78.0187287
74,W,タングステン,15.01559114
75,Re,レニウム,
78,Pt,白金,347.3167062
81,Tl,タリウム,
83,Bi,ビスマス,26.05274781
12,Mg,マグネシウム,29.4131027
13,Al,アルミニウム,14.86964736
20,Ca,カルシウム,4.750385705
26,Fe,鉄,3.072034243
29,Cu,銅,5.310991298
30,Zn,亜鉛,4.038332894
33,As,ヒ素,
47,Ag,銀,190.2914475
48,Cd,カドミウム,3.159904374
50,Sn,スズ,
79,Au,金,18072.73885
80,Hg,水銀,
82,Pb,鉛,0.785854306
44,Ru,ルテニウム,
45,Rh,ロジウム,
35,Br,臭素,
17,Cl,塩素,0.580769017
14,Si,ケイ素,21.28335339
16,S,硫黄,
19,K,カリウム,5.869843613
15,P,リン,
11,Na,ナトリウム,7.616529547
9,F,フッ素,
24,Cr6+,六価クロム,
0,Others,その他,